345	19980623T2100	 15.50	 13.20
346	19980624T0900	 14.70	 13.70
347	19980624T2100	 14.90	 11.60
348	19980625T0900	 12.20	  9.50
349	19980625T2100	 15.00	 10.20
350	19980626T0900	 10.70	  9.40
351	19980626T2100	 12.60	 10.40
352	19980627T0900	 11.30	  8.90
353	19980627T2100	 14.00	  9.60
354	19980628T0900	 13.40	  8.30
355	19980628T2100	 15.40	 10.90
356	19980629T0900	 11.50	  9.80
357	19980629T2100	 13.70	 10.90
358	19980630T0900	 12.30	  7.40
359	19980630T2100	 15.50	 10.70
360	19980701T0900	 14.50	  9.10
361	19980701T2100	 16.50	 12.80
362	19980702T0900	 12.80	  9.70
363	19980702T2100	 14.90	  9.70
364	19980703T0900	 15.10	 10.70
365	19980704T0900	 13.10	  9.80
366	19980704T2100	 16.30	 11.90
367	19980705T0900	 14.50	 11.70
368	19980705T2100	 16.90	 12.50
369	19980706T0900	 13.50	 12.20
370	19980706T2100	 16.20	 10.80
371	19980707T0900	 14.60	  9.40
372	19980707T2100	 16.20	  9.60
373	19980708T0900	 12.40	  8.30
374	19980708T2100	 14.60	 11.70
375	19980709T0900	 14.30	 12.10
376	19980709T2100	 16.90	 11.00
377	19980710T0900	 15.00	  9.50
378	19980710T2100	 16.60	 11.90
379	19980711T0900	 13.30	 10.30
380	19980711T2100	 13.40	 12.00
381	19980712T0900	 15.00	 12.20
382	19980712T2100	 15.20	 10.20
383	19980713T0900	 10.80	  8.50
384	19980713T2100	 13.10	  9.70
385	19980714T0900	 12.10	  9.60
386	19980714T2100	 13.50	  9.90
387	19980715T0900	 12.20	  9.80
388	19980715T2100	 15.10	 11.20
389	19980716T0900	 15.20	  8.60
390	19980716T2100	 17.70	 10.90
391	19980717T0900	 12.70	 10.80
392	19980717T2100	 14.90	  9.80
393	19980718T0900	 11.50	  9.50
394	19980718T2100	 14.80	 11.10
395	19980719T0900	 11.80	 10.00
396	19980719T2100	 17.40	 11.60
397	19980720T0900	 15.80	 13.40
398	19980720T2100	 18.10	 14.50
399	19980721T0900	 14.50	 10.80
400	19980721T2100	 15.60	 11.30
401	19980722T0900	 13.30	 10.10
402	19980722T2100	 15.90	 12.60
403	19980723T0900	 13.30	 12.00
404	19980723T2100	 13.90	 11.90
405	19980724T0900	 13.50	  8.90
406	19980725T0900	 14.40	  7.50
407	19980725T2100	 17.40	 11.90
408	19980726T0900	 11.90	  9.60
409	19980726T2100	 13.20	 11.00
410	19980727T0900	 15.40	 10.40
411	19980727T2100	 16.50	 12.40
412	19980728T0900	 13.30	 12.00
413	19980728T2100	 16.70	 12.90
414	19980729T0900	 13.40	 11.70
415	19980729T2100	 15.50	 12.00
416	19980730T0900	 12.20	 11.00
417	19980730T2100	 15.60	 11.60
418	19980731T0900	 12.10	 10.10
419	19980731T2100	 14.90	 10.20
420	19980801T0900	 12.70	  9.70
421	19980801T2100	 14.90	 11.80
422	19980802T0900	 13.10	 10.40
423	19980802T2100	 18.20	 11.80
424	19980803T0900	 12.80	 10.60
425	19980803T2100	 17.30	 12.80
426	19980804T0900	 14.00	  9.30
427	19980804T2100	 16.70	 12.60
428	19980805T0900	 14.70	 10.70
429	19980805T2100	 16.90	 11.00
430	19980806T0900	 12.40	 10.10
431	19980806T2100	 14.70	 12.20
432	19980807T0900	 13.50	 12.70
433	19980807T2100	 17.20	 12.10
434	19980808T0900	 17.40	 11.40
435	19980809T0900	 16.70	 14.50
436	19980809T2100	 21.60	 14.70
437	19980810T0900	 19.20	 13.60
438	19980810T2100	 20.70	 14.90
439	19980811T0900	 18.10	 12.50
440	19980811T2100	 20.60	 15.00
441	19980812T0900	 15.30	 11.10
442	19980812T2100	 15.50	 11.60
443	19980813T0900	 12.50	  9.50
444	19980813T2100	 14.00	 11.40
445	19980814T0900	 15.50	 14.00
446	19980814T2100	 16.60	 13.10
447	19980815T0900	 13.10	  8.60
448	19980815T2100	 16.70	  9.70
449	19980816T0900	 13.30	  9.10
450	19980816T2100	 15.10	 12.90
451	19980817T0900	 15.30	 12.70
452	19980817T2100	 17.50	 12.40
453	19980818T0900	 13.40	  8.00
454	19980818T2100	 17.20	 11.00
455	19980819T0900	 15.30	  7.90
456	19980819T2100	 17.90	 12.70
457	19980820T0900	 13.40	 11.20
458	19980820T2100	 15.20	 11.30
459	19980821T0900	 14.90	 12.60
460	19980821T2100	 14.80	 11.50
461	19980822T0900	 12.40	  9.70
462	19980822T2100	 14.30	  8.60
463	19980823T0900	 12.30	  8.20
464	19980823T2100	 17.00	 11.30
465	19980824T0900	 11.80	 10.60
466	19980824T2100	 15.80	  8.10
467	19980825T0900	 11.70	  6.40
468	19980825T2100	 15.20	 11.40
469	19980826T0900	 14.60	 11.00
470	19980826T2100	 14.10	  8.50
471	19980827T0900	 13.00	  7.30
472	19980827T2100	 16.60	  9.00
473	19980828T0900	 12.90	  8.30
474	19980828T2100	 15.30	 10.10
475	19980829T0900	 14.60	  8.90
476	19980829T2100	 17.90	 11.90
477	19980830T0900	 13.70	  8.20
478	19980830T2100	 18.80	 13.60
479	19980831T0900	 15.00	 11.20
480	19980831T2100	 17.00	 12.30
481	19980901T0900	 14.50	 12.40
482	19980901T2100	 18.80	 13.60
483	19980902T0900	 14.50	 10.90
484	19980902T2100	 18.90	 14.10
485	19980903T0900	 14.30	 11.00
486	19980903T2100	 18.30	 10.50
