 ID        IDTYPE  MET_DOM     YEAR   MONTH     DAY  END_HOUR   COUNT     AMT     DUR
 425000    RAIN        NCM     1998       4      21      2100      12      40    -999
 425000    RAIN        NCM     1998       4      22       900      12      24    -999
 425000    RAIN        NCM     1998       4      22      2100      12      28    -999
 425000    RAIN        NCM     1998       4      23       900      12       4    -999
 425000    RAIN        NCM     1998       4      23      2100      12      72    -999
 425000    RAIN        NCM     1998       4      24       900      12      12    -999
 425000    RAIN        NCM     1998       4      24      2100      12       4    -999
 425000    RAIN        NCM     1998       4      25       900      12      36    -999
 425000    RAIN        NCM     1998       4      25      2100      12      56    -999
 425000    RAIN        NCM     1998       4      26       900      12      44    -999
 425000    RAIN        NCM     1998       4      26      2100      12      40    -999
 425000    RAIN        NCM     1998       4      27       900      12       4    -999
 425000    RAIN        NCM     1998       4      27      2100      12      50    -999
 425000    RAIN        NCM     1998       4      28       900      12       6    -999
 425000    RAIN        NCM     1998       4      28      2100      12      22    -999
 425000    RAIN        NCM     1998       4      29       900      12       0    -999
 425000    RAIN        NCM     1998       4      29      2100      12       2    -999
 425000    RAIN        NCM     1998       4      30       900      12       0    -999
 425000    RAIN        NCM     1998       4      30      2100      12       0    -999
 425000    RAIN        NCM     1998       5       1       900      12       0    -999
 425000    RAIN        NCM     1998       5       1      2100      12       0    -999
 425000    RAIN        NCM     1998       5       2       900      12       0    -999
 425000    RAIN        NCM     1998       5       2      2100      12       0    -999
 425000    RAIN        NCM     1998       5       3       900      12       0    -999
 425000    RAIN        NCM     1998       5       3      2100      12       0    -999
 425000    RAIN        NCM     1998       5       4       900      12       0    -999
 425000    RAIN        NCM     1998       5       4      2100      12       0    -999
 425000    RAIN        NCM     1998       5       5       900      12      10    -999
 425000    RAIN        NCM     1998       5       5      2100      12     100    -999
 425000    RAIN        NCM     1998       5       6       900      12      70    -999
 425000    RAIN        NCM     1998       5       6      2100      12       4    -999
 425000    RAIN        NCM     1998       5       7       900      12      28    -999
 425000    RAIN        NCM     1998       5       7      2100      12      10    -999
 425000    RAIN        NCM     1998       5       8       900      12       2    -999
 425000    RAIN        NCM     1998       5       8      2100      12       0    -999
 425000    RAIN        NCM     1998       5       9       900      12       6    -999
 425000    RAIN        NCM     1998       5       9      2100      12       0    -999
 425000    RAIN        NCM     1998       5      10       900      12       0    -999
 425000    RAIN        NCM     1998       5      10      2100      12      54    -999
 425000    RAIN        NCM     1998       5      11       900      12      34    -999
 425000    RAIN        NCM     1998       5      11      2100      12       8    -999
 425000    RAIN        NCM     1998       5      12       900      12       2    -999
 425000    RAIN        NCM     1998       5      12      2100      12       0    -999
 425000    RAIN        NCM     1998       5      13       900      12       0    -999
 425000    RAIN        NCM     1998       5      13      2100      12       0    -999
 425000    RAIN        NCM     1998       5      14       900      12      18    -999
 425000    RAIN        NCM     1998       5      14      2100      12       0    -999
 425000    RAIN        NCM     1998       5      15       900      12       0    -999
 425000    RAIN        NCM     1998       5      15      2100      12       0    -999
 425000    RAIN        NCM     1998       5      16       900      12       0    -999
 425000    RAIN        NCM     1998       5      16      2100      12       0    -999
 425000    RAIN        NCM     1998       5      17       900      12       0    -999
 425000    RAIN        NCM     1998       5      17      2100      12       0    -999
 425000    RAIN        NCM     1998       5      18       900      12       0    -999
 425000    RAIN        NCM     1998       5      18      2100      12       0    -999
 425000    RAIN        NCM     1998       5      19       900      12       0    -999
 425000    RAIN        NCM     1998       5      19      2100      12       0    -999
 425000    RAIN        NCM     1998       5      20       900      12       0    -999
 425000    RAIN        NCM     1998       5      20      2100      12       0    -999
 425000    RAIN        NCM     1998       5      21       900      12       0    -999
 425000    RAIN        NCM     1998       5      21      2100      12       0    -999
 425000    RAIN        NCM     1998       5      22       900      12       0    -999
 425000    RAIN        NCM     1998       5      22      2100      12       0    -999
 425000    RAIN        NCM     1998       5      23       900      12       0    -999
 425000    RAIN        NCM     1998       5      23      2100      12       2    -999
 425000    RAIN        NCM     1998       5      24       900      12       0    -999
 425000    RAIN        NCM     1998       5      24      2100      12       0    -999
 425000    RAIN        NCM     1998       5      25       900      12       0    -999
 425000    RAIN        NCM     1998       5      25      2100      12       4    -999
 425000    RAIN        NCM     1998       5      26       900      12       0    -999
 425000    RAIN        NCM     1998       5      26      2100      12      42    -999
 425000    RAIN        NCM     1998       5      27       900      12       2    -999
 425000    RAIN        NCM     1998       5      27      2100      12       0    -999
 425000    RAIN        NCM     1998       5      28       900      12       0    -999
 425000    RAIN        NCM     1998       5      28      2100      12       0    -999
 425000    RAIN        NCM     1998       5      29       900      12       0    -999
 425000    RAIN        NCM     1998       5      29      2100      12       0    -999
 425000    RAIN        NCM     1998       5      30       900      12       0    -999
 425000    RAIN        NCM     1998       5      30      2100      12       0    -999
 425000    RAIN        NCM     1998       5      31       900      12      30    -999
 425000    RAIN        NCM     1998       5      31      2100      12       0    -999
 425000    RAIN        NCM     1998       6       1       900      12       0    -999
 425000    RAIN        NCM     1998       6       1      2100      12      78    -999
 425000    RAIN        NCM     1998       6       2       900      12     186    -999
 425000    RAIN        NCM     1998       6       2      2100      12      94    -999
 425000    RAIN        NCM     1998       6       3       900      12       0    -999
 425000    RAIN        NCM     1998       6       3      2100      12       0    -999
 425000    RAIN        NCM     1998       6       4       900      12       0    -999
 425000    RAIN        NCM     1998       6       4      2100      12       0    -999
 425000    RAIN        NCM     1998       6       5       900      12       0    -999
 425000    RAIN        NCM     1998       6       5      2100      12       0    -999
 425000    RAIN        NCM     1998       6       6       900      12      48    -999
 425000    RAIN        NCM     1998       6       6      2100      12      38    -999
 425000    RAIN        NCM     1998       6       7       900      12      64    -999
 425000    RAIN        NCM     1998       6       7      2100      12      14    -999
 425000    RAIN        NCM     1998       6       8       900      12       0    -999
