 ID        IDTYPE  MET_DOM     YEAR     MON     DAY    TIME   COUNT   MAX_T   MIN_T  MIN_GRASS_T  MIN_CONC_T
 7948      DCNN        NCM     1998       4      21    2100      12      85      62         -999        -999
 7948      DCNN        NCM     1998       4      22     900      12     103      78           79        -999
 7948      DCNN        NCM     1998       4      22    2100      12     124      87         -999        -999
 7948      DCNN        NCM     1998       4      23     900      12      87      67           55        -999
 7948      DCNN        NCM     1998       4      23    2100      12      94      75         -999        -999
 7948      DCNN        NCM     1998       4      24     900      12      88      66           59        -999
 7948      DCNN        NCM     1998       4      24    2100      12     123      78         -999        -999
 7948      DCNN        NCM     1998       4      25     900      12      86      59           61        -999
 7948      DCNN        NCM     1998       4      25    2100      12     126      69         -999        -999
 7948      DCNN        NCM     1998       4      26     900      12      75      57           67        -999
 7948      DCNN        NCM     1998       4      26    2100      12      90      44         -999        -999
 7948      DCNN        NCM     1998       4      27     900      12      76      44           47        -999
 7948      DCNN        NCM     1998       4      27    2100      12      96      54         -999        -999
 7948      DCNN        NCM     1998       4      28     900      12      74      10           27        -999
 7948      DCNN        NCM     1998       4      28    2100      12     113      58         -999        -999
 7948      DCNN        NCM     1998       4      29     900      12      93      46           41        -999
 7948      DCNN        NCM     1998       4      29    2100      12     125      87         -999        -999
 7948      DCNN        NCM     1998       4      30     900      12      98      67           64        -999
 7948      DCNN        NCM     1998       4      30    2100      12     108      64         -999        -999
 7948      DCNN        NCM     1998       5       1     900      12      85      33           26        -999
 7948      DCNN        NCM     1998       5       1    2100      12     125      69         -999        -999
 7948      DCNN        NCM     1998       5       2     900      12     105      48           30        -999
 7948      DCNN        NCM     1998       5       2    2100      12     124      84         -999        -999
 7948      DCNN        NCM     1998       5       3     900      12      84      62           46        -999
 7948      DCNN        NCM     1998       5       3    2100      12     117      54         -999        -999
 7948      DCNN        NCM     1998       5       4     900      12      91      29           24        -999
 7948      DCNN        NCM     1998       5       4    2100      12     126      77         -999        -999
 7948      DCNN        NCM     1998       5       5     900      12      79      57           59        -999
 7948      DCNN        NCM     1998       5       5    2100      12      90      69         -999        -999
 7948      DCNN        NCM     1998       5       6     900      12      90      77           74        -999
 7948      DCNN        NCM     1998       5       6    2100      12     102      88         -999        -999
 7948      DCNN        NCM     1998       5       7     900      12     107      85           84        -999
 7948      DCNN        NCM     1998       5       7    2100      12     121      94         -999        -999
 7948      DCNN        NCM     1998       5       8     900      12     115      89           89        -999
 7948      DCNN        NCM     1998       5       8    2100      12     164     114         -999        -999
 7948      DCNN        NCM     1998       5       9     900      12     140     105           92        -999
 7948      DCNN        NCM     1998       5       9    2100      12     151      87         -999        -999
 7948      DCNN        NCM     1998       5      10     900      12      87      56           54        -999
 7948      DCNN        NCM     1998       5      10    2100      12     105      81         -999        -999
 7948      DCNN        NCM     1998       5      11     900      12      83      68           81        -999
 7948      DCNN        NCM     1998       5      11    2100      12      94      71         -999        -999
 7948      DCNN        NCM     1998       5      12     900      12      88      71           88        -999
 7948      DCNN        NCM     1998       5      12    2100      12     142      82         -999        -999
 7948      DCNN        NCM     1998       5      13     900      12     124     105          112        -999
 7948      DCNN        NCM     1998       5      13    2100      12     184     112         -999        -999
 7948      DCNN        NCM     1998       5      14     900      12     159     137           96        -999
 7948      DCNN        NCM     1998       5      14    2100      12     196     143         -999        -999
 7948      DCNN        NCM     1998       5      15     900      12     154     127          111        -999
 7948      DCNN        NCM     1998       5      15    2100      12     203     143         -999        -999
 7948      DCNN        NCM     1998       5      16     900      12     155      92           57        -999
 7948      DCNN        NCM     1998       5      16    2100      12     198     145         -999        -999
 7948      DCNN        NCM     1998       5      17     900      12     148      79           37        -999
 7948      DCNN        NCM     1998       5      17    2100      12     176     125         -999        -999
 7948      DCNN        NCM     1998       5      18     900      12     156      73           40        -999
 7948      DCNN        NCM     1998       5      18    2100      12     187     142         -999        -999
 7948      DCNN        NCM     1998       5      19     900      12     187      91           52        -999
 7948      DCNN        NCM     1998       5      19    2100      12     208     134         -999        -999
 7948      DCNN        NCM     1998       5      20     900      12     191      95           47        -999
 7948      DCNN        NCM     1998       5      20    2100      12     215     146         -999        -999
 7948      DCNN        NCM     1998       5      21     900      12     148      91           63        -999
 7948      DCNN        NCM     1998       5      21    2100      12     165      94         -999        -999
 7948      DCNN        NCM     1998       5      22     900      12     134      72           41        -999
 7948      DCNN        NCM     1998       5      22    2100      12     166      98         -999        -999
 7948      DCNN        NCM     1998       5      23     900      12     123      74           33        -999
 7948      DCNN        NCM     1998       5      23    2100      12     131     105         -999        -999
 7948      DCNN        NCM     1998       5      24     900      12     125      86           90        -999
 7948      DCNN        NCM     1998       5      24    2100      12     161     112         -999        -999
 7948      DCNN        NCM     1998       5      25     900      12     121      99           86        -999
 7948      DCNN        NCM     1998       5      25    2100      12     140     100         -999        -999
 7948      DCNN        NCM     1998       5      26     900      12     101      73           38        -999
 7948      DCNN        NCM     1998       5      26    2100      12     119      68         -999        -999
 7948      DCNN        NCM     1998       5      27     900      12      72      36           10        -999
 7948      DCNN        NCM     1998       5      27    2100      12     109      56         -999        -999
 7948      DCNN        NCM     1998       5      28     900      12      88      53           23        -999
 7948      DCNN        NCM     1998       5      28    2100      12     129      85         -999        -999
 7948      DCNN        NCM     1998       5      29     900      12     106      81           54        -999
 7948      DCNN        NCM     1998       5      29    2100      12     163     106         -999        -999
 7948      DCNN        NCM     1998       5      30     900      12     140      46            6        -999
 7948      DCNN        NCM     1998       5      30    2100      12     178     115         -999        -999
 7948      DCNN        NCM     1998       5      31     900      12     118      84           82        -999
 7948      DCNN        NCM     1998       5      31    2100      12     165      91         -999        -999
 7948      DCNN        NCM     1998       6       1     900      12     130      66           15        -999
 7948      DCNN        NCM     1998       6       1    2100      12     160     109         -999        -999
 7948      DCNN        NCM     1998       6       2     900      12     116      89           79        -999
 7948      DCNN        NCM     1998       6       2    2100      12     105      88         -999        -999
 7948      DCNN        NCM     1998       6       3     900      12     101      74           60        -999
 7948      DCNN        NCM     1998       6       3    2100      12     132      76         -999        -999
 7948      DCNN        NCM     1998       6       4     900      12     115      44           -1        -999
 7948      DCNN        NCM     1998       6       4    2100      12     143     108         -999        -999
 7948      DCNN        NCM     1998       6       5     900      12     108      83           56        -999
 7948      DCNN        NCM     1998       6       5    2100      12     133      93         -999        -999
 7948      DCNN        NCM     1998       6       6     900      12     116      94          100        -999
 7948      DCNN        NCM     1998       6       6    2100      12     156     114         -999        -999
