YEAR MONTH DAY END_HOUR 0
1998 7 6 900 0
1998 7 6 2100 0
1998 7 7 900 0
1998 7 7 2100 0
1998 7 8 900 0.2
1998 7 8 2100 0.2
1998 7 9 900 1
1998 7 9 2100 0
1998 7 10 900 0.4
1998 7 10 2100 2
1998 7 11 900 1.2
1998 7 11 2100 4.2
1998 7 12 900 6.2
1998 7 12 2100 1.6
1998 7 13 900 0.4
1998 7 13 2100 3.6
1998 7 14 900 0.4
1998 7 14 2100 4
1998 7 15 900 1.6
1998 7 15 2100 0
1998 7 16 900 0
1998 7 16 2100 0
1998 7 17 900 0.6
1998 7 17 2100 0.6
1998 7 18 900 0
1998 7 18 2100 0
1998 7 19 900 0.8
1998 7 19 2100 1.6
1998 7 20 900 4.8
1998 7 20 2100 4.6
1998 7 21 900 5.6
1998 7 21 2100 6.2
1998 7 22 900 2.2
1998 7 22 2100 3.4
1998 7 23 900 3.2
1998 7 23 2100 0
1998 7 24 900 0
1998 7 25 900 0
1998 7 25 2100 0
1998 7 26 900 0.2
1998 7 26 2100 3.2
1998 7 27 900 0
1998 7 27 2100 0.2
1998 7 28 900 2
1998 7 28 2100 0.2
1998 7 29 900 1.6
1998 7 29 2100 2.6
1998 7 30 900 13.2
1998 7 30 2100 8.8
1998 7 31 900 0.2
1998 7 31 2100 0
1998 8 1 900 4.2
1998 8 1 2100 0.2
1998 8 2 900 0
1998 8 2 2100 0
1998 8 3 900 7
1998 8 3 2100 10.6
1998 8 4 900 0
1998 8 4 2100 0
1998 8 5 900 0
1998 8 5 2100 0
1998 8 6 900 0
1998 8 6 2100 0
1998 8 7 900 0.2
1998 8 7 2100 0
1998 8 8 900 0
1998 8 9 900 0
1998 8 9 2100 0
1998 8 10 900 0
1998 8 10 2100 0
1998 8 11 900 0.2
1998 8 11 2100 0
1998 8 12 900 0.8
1998 8 12 2100 2
1998 8 13 900 0
1998 8 13 2100 1.4
1998 8 14 900 1.4
1998 8 14 2100 6.6
1998 8 15 900 0.6
1998 8 15 2100 0.2
1998 8 16 900 0
1998 8 16 2100 0.2
1998 8 17 900 2.6
1998 8 17 2100 0.2
1998 8 18 900 0.2
1998 8 18 2100 0
1998 8 19 900 0
1998 8 19 2100 0.2
1998 8 20 900 0
1998 8 20 2100 3.8
1998 8 21 900 5.8
1998 8 21 2100 0
1998 8 22 900 0.2
1998 8 22 2100 0
1998 8 23 900 1.6
1998 8 23 2100 26.2
1998 8 24 900 0.8
1998 8 24 2100 0.8
1998 8 25 900 0
1998 8 25 2100 0.6
1998 8 26 900 1.4
1998 8 26 2100 0
1998 8 27 900 0
1998 8 27 2100 0
1998 8 28 900 0
1998 8 28 2100 0
1998 8 29 900 0
1998 8 29 2100 0
1998 8 30 900 0.2
1998 8 30 2100 0
1998 8 31 900 0
1998 8 31 2100 1.4
1998 9 1 900 1.8
1998 9 1 2100 6.4
1998 9 2 900 0.2
1998 9 2 2100 0
1998 9 3 900 0
1998 9 3 2100 0
1998 9 4 900 0.2
1998 9 4 2100 9.8
1998 9 5 900 0.6
1998 9 5 2100 0
1998 9 6 900 0.2
1998 9 6 2100 1.6
1998 9 7 900 0
1998 9 7 2100 5
1998 9 8 900 7.2
1998 9 8 2100 0.2
1998 9 9 900 12.2
1998 9 9 2100 15.4
1998 9 10 900 11.8
1998 9 10 2100 5.8
1998 9 11 900 1.6
1998 9 11 2100 2.2
1998 9 12 900 6.2
1998 9 12 2100 5.6
1998 9 13 900 5.8
1998 9 13 2100 0.6
