 ID        IDTYPE  MET_DOM     YEAR     MON     DAY  END_HOUR   COUNT  GLOBAL  DIFFUSE  DIRECT
 7948      DCNN    ESAWRADT    1998       1      10       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       900       1       5     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1000       1      41     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1100       1      83     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1200       1     105     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1300       1     213     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1400       1     199     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1500       1     135     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1600       1      55     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1700       1       5     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11       900       1       6     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1000       1      28     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1100       1      59     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1200       1     111     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1300       1     217     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1400       1     120     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1500       1      67     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1600       1      11     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1700       1       6     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      11      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       800       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12       900       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1000       1       7     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1100       1      26     -999    -999
 7948      DCNN    ESAWRADT    1998       1      12      1200       1      28     -999    -999
